fips,election,cvap
21031,2012,9610
21033,2012,10075
21035,2012,29590
21037,2012,68705
21039,2012,3910
21041,2012,7725
21043,2012,21180
21045,2012,12020
21047,2012,51560
21049,2012,27000
21051,2012,16865
21053,2012,7700
21055,2012,7155
21057,2012,5285
21059,2012,72340
21061,2012,9370
21063,2012,6180
21065,2012,11335
21067,2012,217030
21069,2012,10810
21071,2012,30445
21073,2012,37700
21075,2012,5320
21077,2012,6250
21079,2012,12845
21081,2012,17620
21083,2012,27140
21085,2012,19415
21087,2012,8755
21089,2012,28450
21091,2012,6330
21093,2012,75975
21095,2012,22440
21097,2012,14170
21099,2012,13680
21101,2012,35005
21103,2012,11430
21105,2012,3835
21107,2012,35820
21109,2012,10325
21111,2012,543690
21113,2012,35155
21115,2012,18010
21117,2012,117565
21119,2012,12810
21121,2012,24020
21123,2012,10735
21125,2012,44085
21127,2012,12170
21129,2012,6245
21131,2012,8835
21133,2012,18920
21135,2012,10585
21137,2012,18485
21139,2012,7520
21141,2012,20015
21143,2012,7100
21145,2012,50160
21147,2012,13950
21149,2012,7260
21151,2012,64375
21153,2012,10045
21155,2012,14735
21157,2012,24725
21159,2012,10035
21161,2012,13065
21163,2012,20775
21165,2012,4865
21167,2012,16165
21169,2012,7670
21171,2012,8285
21173,2012,19770
21175,2012,10830
21177,2012,24450
21179,2012,31850
21181,2012,5375
21183,2012,17670
21185,2012,42905
21187,2012,8225
21189,2012,3760
21191,2012,11145
21193,2012,22330
21195,2012,50375
21197,2012,9465
21199,2012,48330
21201,2012,1680
21203,2012,13140
21205,2012,18680
21207,2012,13375
21209,2012,33720
21211,2012,29925
21213,2012,13010
21215,2012,12625
21217,2012,18710
21219,2012,8955
21221,2012,11020
21223,2012,6645
21225,2012,11400
21227,2012,82940
21229,2012,8890
21231,2012,15935
21233,2012,10275
21235,2012,26920
21237,2012,5525
21239,2012,17705
22001,2012,44465
22003,2012,18765
22005,2012,75065
22007,2012,17465
22009,2012,31555
22011,2012,26085
22013,2012,10880
22015,2012,84855
22017,2012,189630
22019,2012,141115
22021,2012,7705
22023,2012,5270
22025,2012,7970
22027,2012,13570
22029,2012,15365
22031,2012,19825
22033,2012,325250
22035,2012,5635
22037,2012,15965
22039,2012,24280
22041,2012,15390
22043,2012,16535
22045,2012,52010
22047,2012,25610
22049,2012,12375
22051,2012,312115
22053,2012,22980
22055,2012,161605
22057,2012,71160
22059,2012,11185
22061,2012,35400
22063,2012,91655
22065,2012,8995
22067,2012,20945
22069,2012,29655
22071,2012,257500
22073,2012,112160
22075,2012,16475
22077,2012,17010
22079,2012,96470
22081,2012,6735
22083,2012,15390
22085,2012,18130
22087,2012,26130
22089,2012,37770
22091,2012,8320
22093,2012,16225
22095,2012,32560
22097,2012,60705
22099,2012,38115
22101,2012,39215
22103,2012,170290
22105,2012,89055
22107,2012,3915
22109,2012,80580
22111,2012,17135
22113,2012,41820
22115,2012,36570
22117,2012,34955
22119,2012,31330
22121,2012,17555
22123,2012,8670
22125,2012,12745
22127,2012,11780
23001,2012,82025
23003,2012,56245
23005,2012,217455
23007,2012,24450
23009,2012,43710
23011,2012,95790
23013,2012,31815
23015,2012,27675
23017,2012,45160
23019,2012,121515
23021,2012,13915
23023,2012,27650
23025,2012,40680
23027,2012,30360
23029,2012,25910
23031,2012,153820
24001,2012,60580
24003,2012,394240
24005,2012,590435
24009,2012,64855
24011,2012,23815
24013,2012,124155
24015,2012,74485
24017,2012,105335
24019,2012,24855
24021,2012,164315
24023,2012,23360
24025,2012,180990
24027,2012,194310
24029,2012,16070
24031,2012,596135
24033,2012,560020
24035,2012,35875
24037,2012,76600
24039,2012,21365
24041,2012,29400
24043,2012,111385
24045,2012,72485
24047,2012,40810
24510,2012,459555
25001,2012,172900
25003,2012,102745
25005,2012,404550
25007,2012,12850
25009,2012,524295
25011,2012,56220
25013,2012,337220
25015,2012,125995
25017,2012,1048225
25019,2012,7160
25021,2012,483020
25023,2012,361055
25025,2012,490675
25027,2012,572060
26001,2012,9290
26003,2012,7880
26005,2012,80505
26007,2012,23290
26009,2012,18595
26011,2012,12785
26013,2012,6925
26015,2012,44475
26017,2012,83180
26019,2012,13800
26021,2012,114835
26023,2012,33385
26025,2012,100095
26027,2012,39650
26029,2012,20080
26031,2012,20825
26033,2012,30650
26035,2012,24360
26037,2012,55790
26039,2012,11295
26041,2012,29160
26043,2012,20525
26045,2012,81145
26047,2012,25220
26049,2012,315345
26051,2012,20415
26053,2012,13510
26055,2012,67490
26057,2012,32890
26059,2012,35415
26061,2012,27755
26063,2012,26000
26065,2012,208925
26067,2012,47740
26069,2012,21075
26071,2012,9755
26073,2012,56550
26075,2012,121835
26077,2012,188240
26079,2012,13295
26081,2012,423780
26083,2012,1765
26085,2012,9435
26087,2012,66120
26089,2012,17245
26091,2012,75625
26093,2012,133535
26095,2012,5330
26097,2012,9015
26099,2012,617410
26101,2012,19965
26103,2012,54405
26105,2012,22150
26107,2012,33950
26109,2012,18945
26111,2012,62310
26113,2012,11225
26115,2012,113900
26117,2012,47655
26119,2012,8100
26121,2012,127450
26123,2012,35750
26125,2012,871320
26127,2012,18910
26129,2012,17235
26131,2012,5650
26133,2012,17655
26135,2012,6920
26137,2012,18330
26139,2012,188930
26141,2012,10970
26143,2012,20275
26145,2012,151285
26147,2012,122735
26149,2012,44350
26151,2012,32755
26153,2012,6730
26155,2012,53215
26157,2012,42445
26159,2012,54800
26161,2012,253840
26163,2012,1301045
26165,2012,24685
27001,2012,13225
27003,2012,236455
27005,2012,24515
27007,2012,32975
27009,2012,28730
27011,2012,4130
27013,2012,50565
27015,2012,19855
27017,2012,26875
27019,2012,62100
27021,2012,22265
27023,2012,9115
27025,2012,39530
27027,2012,44600
27029,2012,6490
27031,2012,4250
27033,2012,8640
27035,2012,47780
27037,2012,280745
27039,2012,14060
27041,2012,28200
27043,2012,11225
27045,2012,15735
27047,2012,23955
27049,2012,34630
27051,2012,4700
27053,2012,820535
27055,2012,14600
27057,2012,15870
27059,2012,28000
27061,2012,35130
27063,2012,7840
27065,2012,12340
27067,2012,31040
27069,2012,3545
27071,2012,10200
27073,2012,5680
27075,2012,8760
27077,2012,3200
27079,2012,20285
27081,2012,4560
27083,2012,18630
27085,2012,26720
27087,2012,3815
27089,2012,7200
27091,2012,15855
27093,2012,17070
27095,2012,19335
27097,2012,24970
27099,2012,27400
27101,2012,6700
27103,2012,24990
27105,2012,13340
27107,2012,5130
27109,2012,101840
27111,2012,44225
27113,2012,10500
27115,2012,22895
27117,2012,7050
27119,2012,23620
27121,2012,8650
27123,2012,359580
27125,2012,3080
27127,2012,11860
27129,2012,11820
27131,2012,46455
27133,2012,7075
27135,2012,11365
27137,2012,159235
27139,2012,87020
27141,2012,61735
27143,2012,10975
27145,2012,112680
27147,2012,26340
27149,2012,7420
27151,2012,7525
27153,2012,18120
27155,2012,2775
27157,2012,16440
27159,2012,10425
27161,2012,14155
27163,2012,170405
27165,2012,7420
27167,2012,4975
27169,2012,40735
27171,2012,86305
27173,2012,7865
28001,2012,24335
28003,2012,27730
28005,2012,10135
28007,2012,14230
28009,2012,6510
28011,2012,25390
28013,2012,10840
28015,2012,8295
28017,2012,12805
28019,2012,6455
28021,2012,7360
28023,2012,12505
28025,2012,15370
28027,2012,18400
28029,2012,21855
28031,2012,14420
28033,2012,113035
28035,2012,55855
28037,2012,6025
28039,2012,16280
28041,2012,11225
28043,2012,16465
28045,2012,32755
28047,2012,137305
28049,2012,178475
28051,2012,13640
28053,2012,6725
28055,2012,1290
28057,2012,17965
28059,2012,101735
28061,2012,12805
28063,2012,5890
28065,2012,9480
28067,2012,48765
28069,2012,7930
28071,2012,37640
28073,2012,40295
28075,2012,59390
28077,2012,9595
28079,2012,15845
28081,2012,60245
28083,2012,22695
28085,2012,25565
28087,2012,44090
28089,2012,67530
28091,2012,19855
28093,2012,27740
28095,2012,27910
28097,2012,8215
28099,2012,20980
28101,2012,15980
28103,2012,8315
28105,2012,37790
28107,2012,25110
28109,2012,41745
28111,2012,9125
28113,2012,29165
28115,2012,21205
28117,2012,19240
28119,2012,5950
28121,2012,104730
28123,2012,18925
28125,2012,3540
28127,2012,19905
28129,2012,12165
28131,2012,13240
28133,2012,22080
28135,2012,11320
28137,2012,21025
28139,2012,16200
28141,2012,14870
28143,2012,7230
28145,2012,19655
28147,2012,11350
28149,2012,35610
28151,2012,36225
28153,2012,15300
28155,2012,7610
28157,2012,7540
28159,2012,14400
28161,2012,9640
28163,2012,20055
29001,2012,20180
29003,2012,13100
29005,2012,4460
29007,2012,19030
29009,2012,26015
29011,2012,9085
29013,2012,12645
29015,2012,15490
29017,2012,9445
29019,2012,123335
29021,2012,66590
29023,2012,32545
29025,2012,6945
29027,2012,33735
29029,2012,34855
29031,2012,58235
29033,2012,7035
29035,2012,4670
29037,2012,72280
29039,2012,10675
29041,2012,6005
29043,2012,55735
29045,2012,5360
29047,2012,160220
29049,2012,15475
29051,2012,56825
29053,2012,13530
29055,2012,18595
29057,2012,6040
29059,2012,12625
29061,2012,6120
29063,2012,10540
29065,2012,11945
29067,2012,10580
29069,2012,23230
29071,2012,75865
29073,2012,11800
29075,2012,5070
29077,2012,213350
29079,2012,7745
29081,2012,6670
29083,2012,17235
29085,2012,7840
29087,2012,3895
29089,2012,7870
29091,2012,30000
29093,2012,8135
29095,2012,487300
29097,2012,83250
29099,2012,162015
29101,2012,40235
29103,2012,3070
29105,2012,26600
29107,2012,24970
29109,2012,27820
29111,2012,7695
29113,2012,37555
29115,2012,9535
29117,2012,11775
29119,2012,15505
29121,2012,11775
29123,2012,9260
29125,2012,6965
29127,2012,21705
29129,2012,2805
29131,2012,18485
29133,2012,11000
29135,2012,11475
29137,2012,6800
